真=polar:1, frequency:465
抱歉=polar:-1, frequency:462
新=polar:1, frequency:431
快乐=polar:1, frequency:256
简单=polar:-1, frequency:210
可爱=polar:1, frequency:208
全=polar:1, frequency:181
努力=polar:1, frequency:166
热门=polar:1, frequency:165
厉害=polar:-1, frequency:153
健康=polar:1, frequency:148
开心=polar:1, frequency:146
秀=polar:1, frequency:121
傻=polar:-1, frequency:118
吃惊=polar:-1, frequency:113
精彩=polar:1, frequency:111
好看=polar:1, frequency:111
成功=polar:1, frequency:109
瘦=polar:-1, frequency:99
好吃=polar:1, frequency:92
美好=polar:1, frequency:90
好听=polar:1, frequency:90
甜=polar:1, frequency:87
真实=polar:1, frequency:84
假=polar:-1, frequency:77
完美=polar:1, frequency:76
幽默=polar:1, frequency:75
不错=polar:1, frequency:75
漂亮=polar:1, frequency:73
最新=polar:1, frequency:70
不好=polar:-1, frequency:69
正式=polar:1, frequency:66
完整=polar:1, frequency:65
优秀=polar:1, frequency:65
幸运=polar:1, frequency:64
恶心=polar:-1, frequency:61
正确=polar:1, frequency:59
确实=polar:1, frequency:58
不行=polar:-1, frequency:55
可怕=polar:-1, frequency:53
痛=polar:-1, frequency:52
虐=polar:-1, frequency:51
尴尬=polar:-1, frequency:51
自由=polar:1, frequency:50
疯狂=polar:-1, frequency:50
惊喜=polar:1, frequency:50
准=polar:1, frequency:48
美丽=polar:1, frequency:46
好玩=polar:1, frequency:46
轻松=polar:1, frequency:45
成熟=polar:1, frequency:45
恐怖=polar:-1, frequency:45
强大=polar:1, frequency:45
详细=polar:1, frequency:44
爽=polar:1, frequency:43
温柔=polar:1, frequency:42
孤独=polar:-1, frequency:42
欢乐=polar:1, frequency:40
痛苦=polar:-1, frequency:39
烦恼=polar:-1, frequency:39
无聊=polar:-1, frequency:38
意外=polar:-1, frequency:38
静=polar:1, frequency:37
遗憾=polar:-1, frequency:37
舒服=polar:1, frequency:36
爱国=polar:1, frequency:36
朗=polar:1, frequency:36
善良=polar:1, frequency:35
贵=polar:-1, frequency:34
浪漫=polar:1, frequency:34
果断=polar:1, frequency:34
顺利=polar:1, frequency:33
有趣=polar:1, frequency:33
亲爱=polar:1, frequency:33
骄傲=polar:-1, frequency:32
锦=polar:1, frequency:31
清新=polar:1, frequency:31
干净=polar:1, frequency:31
失望=polar:-1, frequency:31
著名=polar:1, frequency:30
聪明=polar:1, frequency:30
有意思=polar:1, frequency:30
安静=polar:1, frequency:30
熟=polar:1, frequency:29
旧=polar:-1, frequency:29
懒=polar:-1, frequency:29
悲伤=polar:-1, frequency:29
任性=polar:1, frequency:29
随便=polar:-1, frequency:28
蠢=polar:-1, frequency:28
神秘=polar:-1, frequency:28
激动=polar:-1, frequency:28
民主=polar:1, frequency:28
寂寞=polar:-1, frequency:28
私=polar:-1, frequency:27
困难=polar:-1, frequency:27
骚=polar:-1, frequency:26
陌生=polar:-1, frequency:26
特别=polar:1, frequency:26
合适=polar:1, frequency:26
难过=polar:-1, frequency:25
脏=polar:-1, frequency:25
紧急=polar:-1, frequency:25
弱=polar:-1, frequency:25
激烈=polar:-1, frequency:24
深刻=polar:1, frequency:24
恶=polar:-1, frequency:24
公平=polar:1, frequency:24
黑暗=polar:-1, frequency:23
感人=polar:1, frequency:23
宽=polar:1, frequency:23
伤心=polar:-1, frequency:23
珍贵=polar:1, frequency:22
执著=polar:1, frequency:22
愉快=polar:1, frequency:22
宝贵=polar:1, frequency:22
莽=polar:-1, frequency:21
热情=polar:1, frequency:21
心酸=polar:-1, frequency:21
家破人亡=polar:-1, frequency:21
佳=polar:1, frequency:21
丰=polar:1, frequency:21
悲=polar:-1, frequency:20
微小=polar:-1, frequency:20
帅气=polar:1, frequency:20
勇敢=polar:1, frequency:20
伪=polar:-1, frequency:20
贫困=polar:-1, frequency:19
温馨=polar:1, frequency:19
淡=polar:-1, frequency:19
平凡=polar:-1, frequency:19
乖=polar:1, frequency:19
鲜=polar:1, frequency:18
脆=polar:1, frequency:18
紧张=polar:-1, frequency:18
着急=polar:-1, frequency:18
甜蜜=polar:1, frequency:18
嫩=polar:-1, frequency:18
严肃=polar:1, frequency:18
老实=polar:1, frequency:17
灿烂=polar:1, frequency:17
沉默=polar:-1, frequency:17
森=polar:-1, frequency:17
机智=polar:1, frequency:17
恩爱=polar:1, frequency:17
坚强=polar:1, frequency:17
主动=polar:1, frequency:17
知名=polar:1, frequency:16
残酷=polar:-1, frequency:16
新鲜=polar:1, frequency:16
卫生=polar:1, frequency:16
雅=polar:1, frequency:15
辉煌=polar:1, frequency:15
豪华=polar:1, frequency:15
落后=polar:-1, frequency:15
莫名其妙=polar:-1, frequency:15
艰难=polar:-1, frequency:15
自觉=polar:1, frequency:15
耐心=polar:1, frequency:15
精美=polar:1, frequency:15
清晰=polar:1, frequency:15
残忍=polar:-1, frequency:15
惊讶=polar:-1, frequency:15
悲哀=polar:-1, frequency:15
廉洁=polar:1, frequency:15
平静=polar:1, frequency:15
孤单=polar:-1, frequency:15
奇异=polar:1, frequency:15
受不了=polar:-1, frequency:15
厚=polar:1, frequency:15
傲=polar:-1, frequency:15
优雅=polar:1, frequency:15
酥=polar:-1, frequency:14
迷茫=polar:-1, frequency:14
过分=polar:-1, frequency:14
薄=polar:-1, frequency:14
正经=polar:1, frequency:14
懂事=polar:1, frequency:14
惨=polar:-1, frequency:14
惊人=polar:-1, frequency:14
天真=polar:1, frequency:14
合法=polar:1, frequency:14
净=polar:1, frequency:14
仔细=polar:1, frequency:14
了不起=polar:-1, frequency:14
高级=polar:1, frequency:13
舒适=polar:1, frequency:13
自卑=polar:1, frequency:13
绝望=polar:-1, frequency:13
粗暴=polar:-1, frequency:13
稳=polar:1, frequency:13
猥琐=polar:-1, frequency:13
柔软=polar:1, frequency:13
无耻=polar:-1, frequency:13
寒=polar:-1, frequency:13
华丽=polar:1, frequency:13
公道=polar:1, frequency:13
伟=polar:1, frequency:13
轻薄=polar:-1, frequency:12
礼貌=polar:1, frequency:12
真诚=polar:1, frequency:12
疲惫=polar:-1, frequency:12
独特=polar:1, frequency:12
清醒=polar:1, frequency:12
涩=polar:-1, frequency:12
无奈=polar:-1, frequency:12
敏感=polar:1, frequency:12
抑郁=polar:-1, frequency:12
安逸=polar:1, frequency:12
安好=polar:1, frequency:12
可悲=polar:-1, frequency:12
可恶=polar:-1, frequency:12
丧心病狂=polar:-1, frequency:12
一本正经=polar:1, frequency:12
阔=polar:1, frequency:11
贴心=polar:1, frequency:11
贫穷=polar:-1, frequency:11
矛盾=polar:-1, frequency:11
生动=polar:1, frequency:11
犹豫=polar:-1, frequency:11
暗=polar:-1, frequency:11
平等=polar:1, frequency:11
害羞=polar:-1, frequency:11
大胆=polar:1, frequency:11
嚣张=polar:-1, frequency:11
吉=polar:1, frequency:11
友善=polar:1, frequency:11
动人=polar:1, frequency:11
出色=polar:1, frequency:11
公正=polar:1, frequency:11
倔强=polar:-1, frequency:11
难受=polar:-1, frequency:10
自豪=polar:-1, frequency:10
罕见=polar:1, frequency:10
简=polar:1, frequency:10
神圣=polar:1, frequency:10
焦虑=polar:-1, frequency:10
恶劣=polar:-1, frequency:10
妥=polar:1, frequency:10
如意=polar:1, frequency:10
奇妙=polar:1, frequency:10
乐观=polar:1, frequency:10
郁闷=polar:-1, frequency:9
荣=polar:1, frequency:9
腐败=polar:-1, frequency:9
糟糕=polar:-1, frequency:9
糙=polar:-1, frequency:9
笨=polar:-1, frequency:9
疼痛=polar:-1, frequency:9
热闹=polar:1, frequency:9
温和=polar:1, frequency:9
洁=polar:1, frequency:9
旺=polar:1, frequency:9
慈=polar:1, frequency:9
恐惧=polar:-1, frequency:9
异常=polar:-1, frequency:9
孤=polar:-1, frequency:9
妖艳=polar:1, frequency:9
圆满=polar:1, frequency:9
可笑=polar:1, frequency:9
