朋友=polar:1, frequency:375
红包=polar:1, frequency:232
音乐=polar:1, frequency:195
东西=polar:-1, frequency:183
事情=polar:-1, frequency:172
老师=polar:1, frequency:165
爱情=polar:1, frequency:151
机会=polar:1, frequency:149
中心=polar:1, frequency:149
福利=polar:1, frequency:132
经典=polar:1, frequency:123
奖=polar:1, frequency:109
宝=polar:1, frequency:103
笑话=polar:-1, frequency:101
头=polar:1, frequency:87
声音=polar:-1, frequency:84
青春=polar:1, frequency:83
法律=polar:1, frequency:83
精神=polar:1, frequency:78
冠军=polar:1, frequency:78
经济=polar:1, frequency:77
时尚=polar:1, frequency:76
英雄=polar:1, frequency:71
垃圾=polar:-1, frequency:71
创意=polar:1, frequency:70
油=polar:-1, frequency:69
草=polar:-1, frequency:68
皮=polar:-1, frequency:67
技术=polar:1, frequency:67
技能=polar:1, frequency:65
好运=polar:1, frequency:64
道理=polar:1, frequency:62
熊=polar:-1, frequency:62
能力=polar:1, frequency:61
压力=polar:-1, frequency:59
专家=polar:1, frequency:59
公=polar:1, frequency:57
蜜=polar:1, frequency:52
毛=polar:-1, frequency:51
结局=polar:-1, frequency:50
男子汉=polar:1, frequency:48
效果=polar:1, frequency:48
趣事=polar:1, frequency:46
宝贝=polar:1, frequency:46
资源=polar:1, frequency:45
花心=polar:-1, frequency:43
黄金=polar:1, frequency:42
道德=polar:1, frequency:41
贼=polar:-1, frequency:40
心灵=polar:1, frequency:40
对手=polar:-1, frequency:40
奇葩=polar:1, frequency:40
基=polar:1, frequency:40
美女=polar:1, frequency:39
暴力=polar:-1, frequency:39
事故=polar:-1, frequency:39
技巧=polar:1, frequency:38
规则=polar:1, frequency:36
老子=polar:-1, frequency:35
潮流=polar:1, frequency:35
患者=polar:-1, frequency:35
铁=polar:1, frequency:34
潮=polar:-1, frequency:34
愿望=polar:1, frequency:34
人性=polar:1, frequency:34
美味=polar:1, frequency:33
胡=polar:-1, frequency:32
天堂=polar:1, frequency:31
艺术=polar:1, frequency:30
胖子=polar:-1, frequency:30
猴=polar:-1, frequency:30
好事=polar:1, frequency:30
大师=polar:1, frequency:30
基础=polar:1, frequency:30
喜剧=polar:1, frequency:30
兴趣=polar:1, frequency:30
钟=polar:1, frequency:29
脾气=polar:-1, frequency:29
智慧=polar:1, frequency:29
奖品=polar:1, frequency:29
成绩=polar:1, frequency:28
仇人=polar:-1, frequency:28
长城=polar:1, frequency:27
良心=polar:1, frequency:27
经验=polar:1, frequency:27
果=polar:1, frequency:27
名义=polar:-1, frequency:27
利益=polar:1, frequency:27
优势=polar:1, frequency:27
花絮=polar:1, frequency:26
红色=polar:1, frequency:26
强势=polar:1, frequency:26
艾=polar:1, frequency:25
爱心=polar:1, frequency:25
凤凰=polar:1, frequency:25
低调=polar:1, frequency:25
警报=polar:-1, frequency:24
眼泪=polar:-1, frequency:24
深度=polar:1, frequency:24
奇迹=polar:1, frequency:24
集团=polar:-1, frequency:23
谣言=polar:-1, frequency:23
土豪=polar:-1, frequency:23
财产=polar:1, frequency:22
毛病=polar:-1, frequency:22
战争=polar:-1, frequency:22
恋情=polar:1, frequency:22
魅力=polar:1, frequency:21
逻辑=polar:1, frequency:21
节奏=polar:1, frequency:21
热点=polar:1, frequency:21
大道=polar:1, frequency:21
大爷=polar:-1, frequency:21
后果=polar:-1, frequency:21
名=polar:1, frequency:21
