江山=polar:1, frequency:5
杰=polar:1, frequency:5
杂种=polar:-1, frequency:5
智力=polar:1, frequency:5
春风=polar:1, frequency:5
文盲=polar:-1, frequency:5
收益=polar:1, frequency:5
战火=polar:-1, frequency:5
意愿=polar:1, frequency:5
恶作剧=polar:-1, frequency:5
快手=polar:1, frequency:5
弱点=polar:-1, frequency:5
容=polar:1, frequency:5
宝典=polar:1, frequency:5
孤儿=polar:-1, frequency:5
嫌疑=polar:-1, frequency:5
婊子=polar:-1, frequency:5
妖孽=polar:-1, frequency:5
好评=polar:1, frequency:5
奖杯=polar:1, frequency:5
大屠杀=polar:-1, frequency:5
大夫=polar:1, frequency:5
墨=polar:-1, frequency:5
圈套=polar:-1, frequency:5
国耻=polar:-1, frequency:5
噩梦=polar:-1, frequency:5
同感=polar:1, frequency:5
史诗=polar:1, frequency:5
发明=polar:1, frequency:5
勇=polar:1, frequency:5
凶手=polar:-1, frequency:5
典型=polar:1, frequency:5
光棍=polar:-1, frequency:5
元凶=polar:-1, frequency:5
僵尸=polar:-1, frequency:5
保健=polar:1, frequency:5
乐园=polar:1, frequency:5
业绩=polar:1, frequency:5
一隅=polar:-1, frequency:5
黑心=polar:-1, frequency:4
高峰=polar:1, frequency:4
高价=polar:-1, frequency:4
难=polar:-1, frequency:4
长者=polar:1, frequency:4
长=polar:1, frequency:4
辛=polar:-1, frequency:4
输家=polar:-1, frequency:4
谎=polar:-1, frequency:4
诺言=polar:1, frequency:4
见解=polar:1, frequency:4
艳阳天=polar:1, frequency:4
色狼=polar:-1, frequency:4
肿瘤=polar:-1, frequency:4
美貌=polar:1, frequency:4
罪犯=polar:-1, frequency:4
红星=polar:1, frequency:4
箴言=polar:1, frequency:4
策略=polar:-1, frequency:4
禁忌=polar:-1, frequency:4
祸害=polar:-1, frequency:4
神州=polar:1, frequency:4
碎片=polar:-1, frequency:4
病态=polar:-1, frequency:4
珍珠=polar:1, frequency:4
状元=polar:1, frequency:4
特权=polar:-1, frequency:4
灰色=polar:-1, frequency:4
火灾=polar:-1, frequency:4
清香=polar:1, frequency:4
海盗=polar:-1, frequency:4
浪花=polar:1, frequency:4
沧海=polar:1, frequency:4
殿堂=polar:1, frequency:4
死鬼=polar:-1, frequency:4
